"","Short","Long"
"364","KAIST","Korea Advanced Institute of Science and Technology"
"365","KRN","Kiruna Tracking Station"
"366","KRNS","Kiruna MOS Receiving Station"
"367","KSA","Ka-band Single Access"
"368","KTCS","Katsuura Tracking and Communication　Station"
"369","LAC","Local Area Coverage"
"370","LAN","Local Area Network"
"371","LANDSAT","Land Satellite"
"372","LAPAN","Indonesian National Institute of Aeronautics and Space"
"373","LaRC","NASA Langley Research Center"
"374","LBIR","Laser Beam Image Recorder"
"375","LBIR/LBR","Laser Beam Image Recorder"
"376","LCC","Lambert Conformal Conic projection"
"377","LD","Laser Disc"
"378","LGSOWG","LANDSAT Ground Station Operators Working Group"
"379","LIS","Lightning Imaging Sensor"
"380","LISS","Linear Imaging and Self Scanning Sensor"
"381","LLM","Light Load Mode"
"382","LLP","Cylindrical Projection"
"383","LMDR","Low bit rate Mission Data Recorder"
"384","LMT","Local Mean Time"
"385","LNA","Low Noise Amplifier"
"386","LOS","Loss of Signal"
"387","LP","Line Printer"
"388","LR","Laser Reflector"
"389","LSB","Least Significant Bit"
"390","LSME","LANDSAT/SPOT/MOS/ERS"
"391","LSSR","Low rate Mission data Solid-State Recorder"
"392","LTWG","LANDSAT Technical Working Group"
"393","Maneuver","Maneuver"
"394","Map Projection method","Map projection method"
"395","MCC","Mission Control Center"
"396","MCCF","Mission Control Center Frontend"
"397","MCS","Media Conversion Subsystem"
"398","MD","Mini Disk"
"399","MDHS","Mission Data Handling System"
"400","MDR","Mission Data Recorder"
"401","MDSS","Master Data Storage Subsystem"
"402","MER","Mercator cylindrical projection"
"403","MESSR","Multispectral Electronic Self-Scanning Radiometer"
"404","METEOSAT","Meteorology Satellite"
"406","METI","Ministry of Economy Trade and Industry"
"407","MEXT","Ministry of Education, Culture, Sports, Science and Technology"
"408","MHS","Message Handling System"
"409","Micro wave","Micro wave"
"410","MIFS","Mission Information Server"
"411","MITI","Ministry of International Trade and Industry"
"413","MJD","Modified Julian Date"
"414","MMO","Mission Management Organization"
"415","MMO","Mission Management and Operation System"
"416","MMOFE","Mission Management Organization Front End"
"417","MMS","Multimission Modular Spacecraft"
"418","MO","Magnetic Optical disc"
"419","MOC","Mission Operation Center"
"420","MODIS","Moderate-Resolution Imaging Spectrometer"
"421","MODIS","Moderate Resolution Imaging Spectroradiometer"
"422","MOE","Ministry of the Environment"
"423","MOS","Marine Observation Satellite"
"424","MOS-1/1b","Marine Observation Satellite-1/1b"
"426","MOU","Memorandum of Understanding"
"427","MPMS","Maspalomas MOS Receiving Station"
"429","MRI","Meteorological Research Institute"
"430","MSB","Most Significant Bit"
"431","MSFC","Marshall Space Fright Center"
"432","MSK","Minimum Shift Keying"
"433","MSP","Maspalomas Tracking Station"
"434","MSR","Microwave Scanning Radiometer"
"436","MSS","Multispectoral Scanner"
"437","MSS","Mass Storage Subsystem"
"438","MSS","Multispectral scanner"
"439","MTBF","Mean Time Between Failures"
"440","MTCS","Masuda Tracking and Communication　Station"
"441","MTF","Modulation Transfer Functiion"
"442","MTIR","Middle　and Thermal Infrared"
"443","MTTR","Mean Time to Repair"
"444","NASA","National Aeronautics and Space Administration"
"446","NASDA","National Space Development Agency of Japan"
"448","Natural color","Natural color"
"449","NBTR","Narrow Band Tape Recorder"
"450","NCD","Nominal Catalogue Data"
"451","NCS","Network Control Subsystem"
"452","NCSA","National Center for Supercomputing Applications"
"454","NCU","Network Control Unit"
"455","NESDIS","National Enviromental Satellite,Data,and Information Sevice"
"456","NESDIS","National Environmental Satellite Data and Information Service"
"457","NEΔT","Noise Equivalent Differential Temperature"
"458","NFS","Network File System"
"459","NGN","NASA/NOAA Ground Network"
"460","NIES","National Institute for Environmental Studies"
"461","NIS","Network Information Services"
"462","NMS","Network Management Subsystem"
"464","NN","Nearest Neighber"
"465","NN","Nearest Neighbor"
"466","NOAA","National Oceanic and Atmospheric Administration"
"468","NRCS","Normalized Radar Cross Section"
"469","NRCT","National Research Council of Thailand"
"470","NRSA","National Remote Sensing Agency"
"472","NRSCC","National Remote Sencing Center of China"
"473","NRSCC","National Remote Sensing Center of China"
"474","NRT","Near Real-Time Data"
"475","NRZ","Non Return to Zero"
"476","NSCAT","NASA Scatterometer"
"478","NSI","NASA Science Internet"
"479","NSIDC","National Snow and Ice Data Center"
"480","NSSDC","National Space Science Data Center"
"481","NSSDC/WDC","National Space Science Data Center/World Data Center"
"482","OADN","Oceania ALOS Data Node"
"483","OAS","Orbit Adjust Subsystem"
"484","OBC","On Board Computer"
"485","Obit inclination","Orbit inclination"
"486","OCC","Operations Control Center"
"487","OCTS","Ocean Color and Temperature Scanner"
"489","OD","Optical Disk"
"490","ODR","Optical Data Recorder"
"491","ODUS","Ozone Dynamics Ultrariolet Spectrometer"
"492","Off nadir angle","Off nadir angle"
"493","OIS","Operation Interface Specification"
"494","OLIS","On Line Information System"
"495","OLR","Outgoing Longwave Radiation"
"496","OLS","Operational Linescan System"
"497","OMG","Object Management Group"
"498","OPLAN","Operational Plan File"
"499","OPS","Optical Sensor"
"501","Orbit Viewer","Orbit Viewer"
"502","OREQ","Observation Requests handling System"
"503","ORS","Observation Requests Subsystem"
"504","OS","Operating System"
"505","OSI","Open Systems Interconnection"
"506","OSW","OPS-Shortwave infrared band"
"507","OTCS","Okinawa Tracking and Communication　Station"
"508","OTF","Optical Transfer Function"
"509","OVN","OPS-Visible near infrared band"
"510","P.S.","Polor Stereo"
"511","P/PA","Panchromatic mode"
"512","PALSAR","Phased Array type L-band Synthetic Aperture Radar"
"513","PAMS","Prince Albert MOS Station"
"514","PAN","Panchromatic Sensor"
"515","PARTNERS","Pan-pacific Regional Telecommunications Network Experiment  and Reserch"
"516","Passive Sensor","Passive sensor"
"517","Path/Row","Path/Row"
"518","PBM","Pass Briefing Message"
"519","PBX","Private Branch eXchange"
"520","PC","Program Control"
"521","PC","Personal Computer"
"522","PC","Project Coordinator"
"523","PCD","Precise Catalogue Data"
"524","PCDW","Precise Catalogue Data Weekly"
"525","PCM","Pulse Code Modulation"
"526","PD","Primary Distributor"
"527","PDL","Solar Paddle"
"528","PDR","Preliminary Design Review"
"529","PEPS","SPOT Early Assessment Program"
"530","PFM","Proto-Flight Model"
"532","PGS","Product Generation Subsystem"
"533","PI","Principal Investigator"
"535","PIE","Polar Ice Extent"
"536","PLL","Phase Locked Loop"
"537","PM","Proto-type Model"
"538","PM","Project Manager"
"539","PM","Phase Modulation"
"540","PN","Pseudo-Noise"
"541","PO.DAAC","Physical Oceanographic Distributed Active Archive Center"
"542","Pointing angle","Pointing angle"
"543","POLDER","Polarization and Directionality of the Earth`s Reflectances"
"544","POLDER","Polarization and Directionality of the Earth's Reflectances"
"545","PPED","Post Pass Ephemeris Data"
"546","PR","Precipitation Rader"
"547","PR","Precipitation Radar"
"548","PRF","Pulse Repetition Frequency"
"549","PRISM","Panchromatic Remote-sensing Instrument for Stereo Mapping"
"550","Product","Product"
"551","PRT","Perth Tracking Station"
"552","PS","Polar Stereo"
"553","PSK","Phase Shift Keying"
"554","PTF","Phase transfer Function"
"555","QC","Quality Control"
"556","QL","Quick Look"
"558","QLDS","Quick Look data Distribution Subsystem"
"559","QPSK","Quadrature Phase Shift Keying"
"560","QQC","Quality Quantity Continuity"
"561","QuickSCAT","Quick Scatterometer Satellite"
"562","R&RR","Range & Range Rate"
"563","RA","Radar Altimeter"
"564","RA","Research Announcement"
"566","RA","Reserch Announcement"
"567","RADARSAT","Radar Satellite"
"569","Radiometoric correction","Radiometric correction"
"570","RADSCAT","Radiometer/Scatterometer(S-193)"
"571","RBV","Return Beam Vidicon camera"
"573","RCS","Radar Cross Section"
"574","RCS","Reaction Control Subsystem"
"575","RDB","Relational Data Base"
"576","Recurrent period","Recurrent period"
"577","Registration","Registration"
"578","Remotesensing","Remotesensing"
"579","REQ","Request(Operation Request File)"
"581","Resampling","Resampling"
"582","RESTEC","Remote Sensing Technology Center of Japan"
"584","Rev","Revolution"
"585","REV","REVolution"
"586","RF","Radio Frequency"
"587","RGB","Red/Green/Blue"
"588","RIS","Retroreflector in Space"
"590","RSGS","Remote Sensing Ground Station"
"592","RSI","RADARSAT International Inc."
"593","RSP","Reference System for Planning"
"595","RTC","Real Time Coverage"
"596","S-Band","S-Band Frequency"
"597","S/C","Spacecraft"
"598","S/N","Signal to Noise ratio"
"599","S/N , SNR","Signal to Noise Ratio"
"600","SAFISY","Space Agency Forum on ISY"
"601","SANCST","Saudi Arabian National Center for Science and Technology"
"603","SAR","Synthetic Aperture Radar"
"605","Saturation Ratio","Saturation Ratio"
"606","SCAT","Microwave Scatterometer"
"607","SCATT","Scatterometer"
"608","Scene order","Scene order"
"609","SCO","Spacecraft Control Organization"
"610","SDPF","Sensor Data Processing Facility"
"611","SeaPAC","Sea Winds Processing and Analysis Center"
"612","SEASAT","Sea Satellite"
"614","SeaStar","SeaStar"
"615","SeaWiFS","Seaviewing Wide Field Sensor"
"617","SeaWinds","Sea Winds"
"618","SeaWinds","SeaWinds"
"619","SEES","Space Environment & Effects System"
"620","SHMS","Shouwa station MOS Receiving Station"
"621","SI","Space Imaging, Inc."
"622","SIE","Space Imaging EOSAT"
"623","SINFONIA","Satellite Information Network based on Individual Archiving"
"624","SIR","Shuttle Imaging Radar"
"625","SIR-C/X-SAR","Shuttle Imaging Radar C Band/X Band Synthetic Aperture Rader"
"626","SKINNY","SKINNY Format"
"627","SLAR","Side Looking Airborne Radar"
"628","SM","Soil Moisture"
"629","SMILES","Sub-Millemeter wave Limb Emission Sounder"
"630","SMM","Solar Maximum Mission"
"631","SMS","Schedule Management System"
"632","SMSS","Schedule Management Subsystem"
"633","SMSS","Schedule Management SubSystem"
"634","SMTP","Simple Mail Transfer Protocol"
"635","SN","Signal to Noise Ratio"
"636","SN","Space Network"
"637","SNMP","Simple Network Management Protocol"
"638","SNT","Santiago Tracking Station"
"639","SOCP","Spacecraft Orbital Checkout Procedure"
"640","SOM","Space Oblique Mercator"
"642","SOOH","Spacecraft Orbital Operations Handbook"
"643","SOP","Spacecraft Operation Procedure"
"644","Spatial Resolution","Spatial Resolution"
"645","SPOT","Satellite Probatoire d'Observation de la Terre"
"647","SPOT IMAGE","SPOT IMAGE"
"648","SQL","Stractured Qyery Language"
"649","SR","Special Resampling"
"651","SRPS","SPOT Receiving Plan Scheduler"
"652","SRR","System Requirement Review"
"653","SSA","S-band Single Access"
"654","SSB","Single Side band"
"655","SSC","Swedish Space Corporation"
"656","SSM/I","Special Sensor Microwave/Imager"
"657","SSM/T","Special Sensor Microwave/Temperature Sounder"
"658","SSQ","Subscene Sequential"
"660","SST","Sea Surface Temperature"
"662","SSTCC","State Science and Technology Commission of China"
"663","SSW","Sea Surface Wind Speed"
"664","STA","Science and Technology Agency"
"666","Standing order","Standing order"
"667","Stereoscopic images","Stereoscopic images"
"668","STR","Structural"
"669","STT","Star Tracker"
"670","Sub scene(LSM)","Sub Scene"
"671","Sub scene(TRMM)","Sub Scene"
"672","SUPARCO","Space and Upper Atmosphere Research Committee"
"674","Swath width","Swath width"
"675","SWE","Snow Water Equivalent"
"676","SWIR","Short Wavelength Infrared Region"
"677","SWIR","Short Wave Infrared Radiometer"
"678","SWIR","Shortwave Length Infrared Radiometer"
"679","TACC","Tracking and Control Center"
"681","TACS","Tracking and Control Station"
"682","TACS","Tracking and Communication Station"
"683","Tar","Tape Archival and Retrieval format"
"684","TASN","Thailand ALOS data Sub-Node"
"685","TB36.5GHz","Brightness Temperature"
"686","TB6.9GHz","Brightness Temperature"
"687","TB89.0GHz","Brightness Temperature"
"688","TBD","To Be Determined"
"689","TBS","To Be Specified(Supplied)"
"690","TC&R","Telemetry Command & Ranging"
"691","TCP","Transmission Control Protocol"
"692","TCP/IP","Transmission Control Protocol/Internet Protocol"
"693","TCS","Thermal Control Subsystem"
"694","TDM","Time Division Multiplexing"
"695","TDMA/DSI","Time Division Multiple Access/Digital Speech Interpolation"
"696","TDRS","Tracking & Data Relay Satellite"
"698","TDRSS","Tracking & Data Relay Satellite System"
"699","TEDA","Technical Data Acquisition Equipment"
"700","Terra","Earth Observing System AM1(EOS-AM1)"
"701","TERSE","Tunable Etalon Remote Sounder for the Environment"
"702","TG-DIAL","Trace Gas Differential absorption Lidar"
"703","Thermal infrared","Thermal infrared"
"704","TIFF","Tagged-Image File Format"
"705","Tilt angle","Tilt angle"
"706","TISN","Todai International Science Network"
"707","TKSC","Telemetry"
"708","TKSC","Tsukuba Space Center"
"709","TLM","Thematic Mapper"
"710","TLM","Telemetry data"
"711","TM","TRMM Microwave Imager"
"712","TM","Thematic Mapper"
"713","TMI","Thailand MOS Station"
"714","TMI","TRMM Microwave Imager"
"715","TMS","Tropical Ocean and Global Atmosphere"
"716","TOGA","Total zone Mapping Spectrometer"
"717","Tokyo Bessel","Tokyo Bessel"
"718","TOMS","Tokai university Research & Information Center"
"719","TOMS","Total Ozone Mapping Spectrometer"
"720","TRIC","Tropical Rainfall Measuring Mission"
"721","TRIC","Tokai university Research & Information Center"
"722","TRMM","Tromsoe MOS Receiving Station"
"723","TRMM","Tropical Rainfall Measuring Mission"
"724","TRMS","Tokai university Space Information Center"
"725","TRMS","Tromsoe MOS Receiving Station"
"726","True color","True color"
"727","TSDIS","TRMM Science Data and Information System"
"728","TSIC","Tracking, Telemetry & Command Plan"
"729","TSIC","Tokai university Space Information Center"
"730","TT&C","Tracking Telemetry & Command"
"731","TTL","Transistor-Transistor Logic"
"732","TWT","Traveling Wave Tube"
"733","TYKKI","Taihei-You sougou Kansoku Initiative"
"734","UARS","Upper Atmospheric Research Satellite"
"735","UHF","Ultra-High Frequency"
"736","UIT","User Interface Terminal"
"737","UQPSK","Unbalanced quadrature phase shift keying"
"738","USB","Unified S-Band"
"739","USGS","The United State Geological Survey"
"740","UT","Universal Transverse Mercator"
"741","UT","Universal Time"
"742","UTC","Coordinated universal time"
"743","UTM","Universal Transverse Mercator"
"744","V/H","Velocity to Height ratio"
"745","VC","Virtual channel"
"746","VCO","Voltage Control Oscillator"
"747","Vegetation index","Vegetation index"
"748","VHF","Very-High Frequency"
"749","VIRS","Visible Infrared Scanner"
"750","Visible light","Visible light"
"751","VMD","Virtual channel Multiplexer and Distributor"
"752","VNIR","Visible and Near Infrared Radiometer"
"753","VSAR","Variable off-nadir angle Synthetic Aperture Rader"
"754","VSWR","Voltage Standing Wave Ratio"
"755","VTIR","Visible and Thermal Infrared Radiometer"
"756","WAN","Wide Area Network"
"757","WBTR","Wide-band Video Tape Recorder"
"758","WCRP","World Climate Research Programme"
"759","WFF","Wallops Flight Facility"
"760","WGS84","Wold Geodetic System 1984"
"761","WO","Work Order"
"762","WPS","Wallops"
"763","WRS","World Reference System"
"764","WS","Work Station"
"765","WV","Water Vapor"
"766","WWW","World Wide Web"
"767","XS","Multi Spectral Mode"
